n,tau_star,B,tau_w,m,neg_MSE
0.3985317711074063,321506.5471692115,129998.10218059063,0.0381645685218752,1.3233440120586488,-308743.8030159034
0.3759353801292933,561790.0520513734,570615.5848493174,0.5252916743611898,1.6378768609908705,-66622.89923374733
0.2450250647863421,855262.5174524032,991786.7576853333,0.990919804329896,1.4564280702074526,-71868.92316150159
0.5604655594244409,404293.1495896812,859569.197008337,0.8447459455814392,1.0285039839511307,-41776.46696440956
0.517862520378781,776415.8150268587,411980.2559306658,0.3499115051677917,1.6808866793119133,-147536.32095463155
0.426519426312211,279404.9164830224,681374.8005623404,0.6477421406216987,1.5842428191123623,-17342.274775984835
0.5405348742083653,616749.457012967,500497.6464957863,0.4477723980703414,1.802365843098629,-95755.36477807778
0.4884663227849624,746310.0504637785,276234.08407812007,0.1998365707308105,1.7782806920231995,-238751.99766782927
0.2188035047791005,144118.41287790844,761316.9674390939,0.7361226473354427,1.2308483749176915,-59194.801125811486
0.3583266736901266,933385.9277852664,755352.9072448995,0.7295290474540833,1.8678529529543988,-37722.23078911986
0.5880083486905783,202739.90216037387,386996.0665841903,0.3222900958347437,1.520633043357944,-132454.34551021928
0.4421594394980225,384008.2184415216,929435.3823124346,0.9219868948898582,1.264405386190378,-39159.94664091265
0.3084066114303859,462554.5160488256,164260.44253207513,0.0760434892437941,1.1289982991918823,-221207.84694314495
0.3058724312206428,949547.8639647427,315375.83907037,0.2431099554166867,1.116426278716875,-121806.74035259953
0.2729616406360521,689966.5762848067,637913.2361677655,0.5996929666521407,1.4080999886614884,-48061.58361671653
0.4936743543150715,110453.82916138864,645546.044310269,0.9020905176527882,1.6949639538363508,-25300.716537865264
0.6,128048.14464311193,768491.5376449416,0.26133078801803955,1.4575280167862947,-205089.94597650814
0.5234417957711645,112148.03810891003,128905.5563384761,0.6777167268291198,1.0780869319815798,-155784.38454346906
0.4511822907117347,191990.50050107765,710167.5195605617,0.751604981829824,1.074358246826379,-19174.374701269757
0.4927017727002757,180623.26347228343,725209.6553787986,0.7548864008481101,1.6440282574192704,-17010.25327991526
0.38061494328750317,294180.08815079473,843777.733264064,0.7044417147516934,1.9,-20267.481071067356
0.4375462146599692,500849.40492961806,758356.7522180934,0.7851443800258185,1.5352147611086693,-31441.851310274764
0.5574149679426376,201012.54794159683,775986.7276492262,1.0,1.9,-15019.549066696682
0.48225807251139585,119873.74790153954,700517.322991629,1.0,1.0,-22539.16666923741
0.6,544488.3621921042,458820.722744519,1.0,1.9,-17522.901974067114
0.6,163904.47208707666,611839.1787214164,1.0,1.9,-18981.101928223743
0.47725915550944237,982578.3995057225,117305.31080415839,1.0,1.9,-96443.39218966814
0.5766262143515083,951397.0777591142,539351.1728597227,1.0,1.9,-21479.903735416643
0.2128998544499502,734639.3374698653,981814.0614615252,0.5238602672646844,1.0,-19718.65392887083
0.532601043680488,189238.45755544744,957352.7490073668,1.0,1.9,-18097.886749512298
0.2,999458.4150723796,696803.8885280701,0.22919598107430034,1.0,-58190.644737289054
0.2,554208.5032902918,993547.1340095152,0.005,1.9,-303603.88600386487
0.4421447953562633,113030.6038657885,830392.9528699801,0.6352806164079284,1.0,-20601.249591023945
0.2704836704081173,128183.91965953333,906017.007793419,0.5839471276873861,1.9,-45200.41735469823
0.2,953752.2105927768,915270.7657026385,0.42998231579817126,1.0,-32794.14486333695
0.5690374597049461,749065.1167275416,835453.0992447858,1.0,1.9,-63535.18543358216
0.20308812936125553,948332.8877837944,955913.9864026431,0.6139256725223563,1.0,-23076.55000583711
0.5434877829312736,120297.94026849559,790524.4782924906,1.0,1.9,-18471.979205763553
0.35462499241588,980847.5138742491,508079.2473630652,1.0,1.9,-22560.94674399839
