n,tau_star,tau_w,m,neg_MSE
0.6576438719595785,7774.952091690553,0.1216280687850688,1.4472585568024767,-311267.9989849346
0.7897688934151017,3399.958939381447,0.1527300668740044,1.0012181222175147,-247756.4918013561
0.2436392282586545,2113.2470567840064,0.8722014823801891,1.8717941343731408,-106872.0112747319
0.5163156410431946,7483.320223716344,0.2178297626555405,1.130835697902027,-108093.17238409085
0.5942915678129814,6793.0604124949095,0.8485536286873312,1.2548346936932475,-244026.1123047205
0.3948564045409676,4174.992667517179,0.7019789365685005,1.5384251604969337,-91497.70177990699
0.5551555249143123,2659.978066690436,0.4774052583167356,1.2365163839020643,-135762.78778956007
0.6813136523811498,5845.183620790277,0.0399950216665321,1.3019233583975134,-93535.73101429237
0.2853591602714649,4652.730320241204,0.6570501958373031,1.609688141597629,-98448.72020286646
0.412956606723656,5248.753565796965,0.4407861259938136,1.1048383583073131,-93798.72578809485
0.2198059262720973,1444.604442841034,0.7810146418299042,1.691787874405299,-96523.32875779347
0.468790521365671,3272.631498735964,0.3354272006428897,1.366835719232053,-96085.01875855071
0.7237036927517506,1556.013696964283,0.5980271375773881,1.732637301904722,-124177.86615096778
0.6066801873529019,4803.515933448382,0.9488937491355152,1.7829622204500095,-260478.2780983096
0.3469820891530716,6333.882315686646,0.3649397456871899,1.584876383669314,-89134.65810588836
0.4353775114591021,7086.593626226468,0.18935618243024616,1.188715717686687,-90979.04355748417
0.43562603649038373,5216.754126603897,0.2188283626164501,1.3601060345559228,-89627.28345835023
0.5684265995529214,5896.056115717992,0.005,1.0677266280493019,-130131.71489423934
0.3621965459875861,4880.793208598573,0.21475728692170876,1.7968219386154436,-89261.51221336552
0.7207074356759156,5536.542101353206,0.005,1.0,-556427.1114500212
0.7203221237772196,1696.2467725403467,0.005,1.301928490386659,-310545.16790364654
0.4948702955124787,5270.345642674996,0.03155232479411907,1.1756014758958582,-89134.785971673
0.36324203418627016,4676.926377574056,0.1569831947039283,1.626759453190858,-89174.57106903949
0.474872597970929,6703.306525506959,0.005,1.0292491390483478,-107413.87937276185
0.653325986363427,4849.269881447332,0.005,1.3534283644285365,-95057.219763218
0.3118562241161958,3209.0490047215394,0.7434003620825176,1.7474151395867552,-96281.05976680975
0.35579472720638805,5710.049136238635,0.9409035964773638,1.699866240060527,-88968.79657042047
0.7256250969608333,5266.6862647383505,0.005,1.3694148827806127,-311376.23532294406
0.44410796296428334,1808.4193582528264,0.9743544028860518,1.2011940278074198,-91329.28381976034
0.6560391654382242,2813.2617758770284,0.005,1.2681055242826405,-92033.45315987729
0.6742801301502157,4193.217400434148,0.005,1.4060614204243196,-312523.36123309523
0.6549217234477045,5526.32012460183,0.005,1.3125939100031363,-308963.5714498663
0.6514175076919856,5974.714495250174,0.061797884973712545,1.4361313518537808,-312844.47431447514
0.28846192473832266,4810.711898038387,0.042008240977226226,1.6460737889315233,-327291.6496778393
0.7116074653537311,5870.516341539688,0.04057409814034739,1.4326758437471727,-313221.40014774335
0.696563245118752,5943.769021720551,0.06665597991152125,1.2630457830300832,-89532.43869144582
0.38648577800480544,4568.848101182635,0.3629996205937135,1.609452147571444,-89518.91153563219
0.4187406892569211,4665.213059922938,0.11093196774779034,1.661059297156425,-312098.5009170708
0.6895462768363027,6251.678384176509,0.08848706501321969,1.2507631212762822,-308709.3087764269
0.35132486600555485,4561.874775234612,0.3857013412611163,1.5994975286161448,-90210.3191738878
0.3623545252298724,4725.212177124757,0.07212051756648355,1.6049097132704924,-102368.7253806637
0.449763050099848,5246.220520436003,0.22133880524350155,1.2160310216607864,-92306.6887517529
0.36919705637047195,4676.799142801483,0.5191638894303894,1.6075605031213251,-91034.25829649916
0.38634337473699887,4480.901529232256,0.4830341020503884,1.5290255533859878,-318449.63383911346
0.6987827660677165,5980.114362941188,0.06340548257008802,1.2879690979638394,-93895.89528947402
